productId,userId,Rating
TAYDOL women fancy block heel sandal (33),A025,3
Lace Up Buckle Casual Shoes,A025,4
Leather Thigh High Boot,A025,5
Wedding Shoes for Bride,A025,3
TRYME Fashionable Stylish Ethnic Heel Sandal Stiletto Sandal Heel Sandal For Womens And Girls,A025,3
Women's Knee High Boot,A025,2
High Chunky Heel Ankle Booties,A025,2
Steel Toe Work Shoes for Men,A025,4
Ankle Length Casual Boots,A025,4
Metallic Glitter Evening Shoe,A025,3
JM LOOKS Strappy Heels,A025,2
High Stiletto Heel,A025,4
Leather Block Winter Boots,A026,3
Casual Slip-On Sneaker,A026,3
Wedding Shoes for Bride,A026,4
Leather Thigh High Boot,A026,3
NINE WEST FOOTWEAR,A026,3
Red Tape Sports Shoes for Men | Comfortable Walking Shoes,A026,2
Gold High Heels Butterfly,A026,2
Mid Calf Winter Snow Boots,A026,1
SENDA Ushuaia Academy Turf Shoe,A027,5
Women and Girls Heels Sandal,A027,3
Women's UA Surge 3 Running Shoes,A027,3
Women stylish transparent heels,A027,2
Women Formal Shoes,A027,2
Women's Desirable Boot,A027,4
Metallic Glitter Evening Shoe,A027,3
Neeman's ReLive Knit Casual Slip On Sneakers for Women,A027,3
Casual Slip-On Sneaker,A028,2
TRYME Fashionable Stylish Ethnic Heel Sandal Stiletto Sandal Heel Sandal For Womens And Girls,A028,2
Calvin Klein Kerie,A028,1
Wedding Shoes for Bride,A028,3
Liberty Gliders Casual Shoes,A029,3
Heel Glitter Booties Closed Toe Block Heel Dress Winter ShoesHeel Glitter Booties Closed Toe Block Heel Dress Winter Shoes,A029,5
TAYDOL women fancy block heel sandal (33),A029,3
SENDA Ushuaia Academy Turf Shoe,A029,3
Liberty Gliders Casual Shoes,A029,4
High Chunky Heel Ankle Booties,A029,4
Metallic Glitter Evening Shoe,A030,2
Mid Calf Winter Snow Boots,A030,2
Women's Minimalist Barefoot Shoes,A030,2
High Stiletto Heel,A030,1
Trendy Sneakers for Men,A030,2
Mid Calf Round Toe Slouched High Heel Boots,A030,2
Gold High Heels Butterfly,A030,3
Leather Block Winter Boots,A030,3
Casual Slip-On Sneaker,A030,3
Womens Running Shoes Non Slip Walking,A030,2
Knee Platform Boots,A030,2
Women stylish transparent heels,A031,1
Running Shoe,A031,1
Women's Summits Sneaker,A032,2
High Stiletto Heel,A032,3
Women and Girls Heels Sandal,A032,3
Reebok Women's Zig Dynamica Sneaker,A032,4
Ankle Length Casual Boots,A032,4
Metallic Glitter Evening Shoe,A033,5
Mid Calf Winter Snow Boots,A033,1
Printed high boots,A033,3
Women's Minimalist Barefoot Shoes,A033,3
Wedding Shoes for Bride,A033,2
Shoes Women's Dorian Boot,A033,2
Western Cowboy Boot,A034,5
TRYME Fashionable Stylish Ethnic Heel Sandal Stiletto Sandal Heel Sandal For Womens And Girls,A034,4
RUIDENG Platform Sneakers,A034,4
Girl's Embellished Platforms Heels,A034,4
Wide Width Fashion Sneaker,A034,4
Women's Desirable Boot,A034,3
Comfotable Lightweight Casual Sneaker,A035,3
Gold High Heels Butterfly,A035,3
Calvin Klein Kerie,A035,2
Printed high boots,A035,2
Casual Slip-On Sneaker,A035,1
TAYDOL women fancy block heel sandal (33),A035,3
Mid Calf Winter Snow Boots,A035,5
Reebok Women's Zig Dynamica Sneaker,A035,4
Ankle Length Casual Boots,A035,3
Leather Block Winter Boots,A035,2
Metallic Glitter Evening Shoe,A035,2
Block Heeled Western Boots,A035,3
Trendy Sneakers for Men,A035,4
Running Shoe,A035,3
Girl's Embellished Platforms Heels,A035,2
NINE WEST womens Folowe,A035,4
Heeled Pointed Toe Zipper Booties,A035,3
Pink Heels,A035,4
Women's Minimalist Barefoot Shoes,A035,2
Skechers Men's Energy-Afterburn,A036,5
Steve Madden Women's Trixie Heeled Sandal,A036,3
Embellish Heeled Sandal,A036,3
Chunky High Heel Elastic Ankle Boots,A036,4
Women stylish transparent heels,A036,1
Women's Desirable Boot,A036,2
Girls Casual Pink Stylish Latest Party/Casual Heel Sandals,A036,2
RUIDENG Platform Sneakers,A036,5
Golden Heeled Sandal,A036,3
BUCIK Men's White Synthetic Lether Lace-Up Casual Shoes,A036,3
SENDA Ushuaia Academy Turf Shoe,A036,2
Printed high boots,A036,4
Trendy Sneakers for Men,A037,2
Girl's Embellished Platforms Heels,A037,4
RUIDENG Platform Sneakers,A037,1
Mid Calf Winter Snow Boots,A037,5
Womens Running Shoes Non Slip Walking,A037,3
Women and Girls Heels Sandal,A037,3
NINE WEST womens Folowe,A037,2
"HG SQUARE Mens Canvas High Top Sneaker Lace-up Classic Casual Shoes (Grey, Numeric_9)",A037,3
Running Shoe,A037,2
Knee Platform Boots,A038,4
Sweet Platform Pump,A038,4
Shoes Women's Dorian Boot,A038,2
Skechers Men's Energy-Afterburn,A038,4
Women's Summits Sneaker,A038,3
Steve Madden Women's Trixie Heeled Sandal,A039,5
Gold High Heels Butterfly,A039,5
Western Cowboy Boot,A039,1
Womens Running Shoes Non Slip Walking,A039,3
Winter Snow Boot,A039,3
Cowboy Distressed Boot,A039,2
SENDA Ushuaia Academy Turf Shoe,A039,2
Women and Girls Heels Sandal,A039,3
Pink Heels,A039,2
Running Shoe,A039,4
pointed heel,A039,2
Wide Width Fashion Sneaker,A039,3
Block Heeled Western Boots,A039,4
Women's Summits Sneaker,A039,3
Heel Glitter Booties Closed Toe Block Heel Dress Winter ShoesHeel Glitter Booties Closed Toe Block Heel Dress Winter Shoes,A040,2
Sweet Platform Pump,A040,2
Mid Calf Round Toe Slouched High Heel Boots,A040,4
Embellish Heeled Sandal,A040,2
Western Cowboy Boot,A040,3
Women stylish transparent heels,A040,4
Surexo Women's Boots Chukka Boots,A040,4
Winter Snow Boot,A040,3
Womens Running Shoes Non Slip Walking,A040,3
Leather Block Winter Boots,A040,3
Over the Knee Boots,A040,2
Gold High Heels Butterfly,A040,1
Steve Madden Women's Trixie Heeled Sandal,A041,2
Women's Possession Sneaker,A041,3
Cowboy Distressed Boot,A041,4
Wide Width Fashion Sneaker,A041,5
Chunky High Heel Elastic Ankle Boots,A041,3
Seth Heeled Sandal,A041,3
Knee Platform Boots,A041,2
Sweet Platform Pump,A041,2
Lace Up Duck Boot,A041,4
TAYDOL women fancy block heel sandal (33),A041,4
Reebok Women's Zig Dynamica Sneaker,A042,2
Lace Up Duck Boot,A042,2
Heeled Pointed Toe Zipper Booties,A042,3
Over the Knee Boots,A042,3
Gold High Heels Butterfly,A042,4
Women's Ravyn Knee Boot,A042,4
ZAIF Women Stylish Trendy Pencil Heel Sandal (ZC059),A042,5
PUMA Men's Viz Runner Cross-trainer,A042,2
BUCIK Men's Synthetic Leather Lace-Up Casual Shoe's,A043,2
Work Safety Sneakers,A043,3
"HG SQUARE Mens Canvas High Top Sneaker Lace-up Classic Casual Shoes (Grey, Numeric_9)",A043,3
pointed heel,A043,4
Girls Casual Pink Stylish Latest Party/Casual Heel Sandals,A043,4
Women's Possession Sneaker,A043,2
Girls boot355,A043,2
PUMA Men's Viz Runner Cross-trainer,A043,3
Kraasa Slip On Sneakers for Women,A043,3
Trendy Sneakers for Men,A044,1
Girls Casual Pink Stylish Latest Party/Casual Heel Sandals,A044,2
RUIDENG Platform Sneakers,A044,2
Women's ST-1177 White PU Boots,A044,3
Gold High Heels Butterfly,A044,3
Calvin Klein Kerie,A044,4
Women's Ravyn Knee Boot,A044,4
Fashion Box Women's Fashion Platform Heel Wedge Sandals,A044,5
Reebok Women's Zig Dynamica Sneaker,A045,3
Liberty Gliders Casual Shoes,A045,3
Embellish Heeled Sandal,A045,2
Cowboy Distressed Boot,A045,3
pointed heel,A045,2
Shuz Touch Women Solid Glossy Ankle Length Heels Boots,A045,4
Skechers Men's Energy-Afterburn,A046,2
Girls boot355,A046,3
Sweet Platform Pump,A046,4
Block Heeled Western Boots,A046,2
Pink Heels,A046,3
Women's Possession Sneaker,A046,4
Seth Heeled Sandal,A046,2
TAYDOL women fancy block heel sandal (33),A046,3
Low heel,A046,4
Calvin Klein Kerie,A047,2
Women's Desirable Boot,A047,4
RUIDENG Platform Sneakers,A047,2
Fashion Box Women's Fashion Platform Heel Wedge Sandals,A047,3
Heeled Pointed Toe Zipper Booties,A047,2
Women and Girls Heels Sandal,A048,4
Sweet Platform Pump,A048,2
BUCIK Men's Synthetic Leather Lace-Up Casual Shoe's,A048,3
Lightweight Casual Fashion Sneakers,A048,4
Comfotable Lightweight Casual Sneaker,A049,2
Golden Heeled Sandal,A049,3
Women's ST-1177 White PU Boots,A049,4
Women stylish transparent heels,A049,2
urexo Women Sneaker's Maroon,A049,3
Mid Calf Round Toe Slouched High Heel Boots,A049,3
Work Safety Sneakers,A049,3
Fashion Box Women's Fashion Platform Heel Wedge Sandals,A049,5
PUMA Men's Viz Runner Cross-trainer,A049,3
Women's Knee High Boot,A050,2
OZJI Men Casual X CONVER HIGH TOP Sneaker for Men,A050,4
Wide Width Fashion Sneaker,A050,3
Women's Ravyn Knee Boot,A050,2
Puma Unisex-Baby Rebound Joy Softfoam+ Kid's Shoes Basketball Shoe,A050,5
NINE WEST womens Folowe,A050,2
Womens Running Shoes Non Slip Walking,A050,3
Seth Heeled Sandal,A050,4
Work Safety Sneakers,A050,1
Golden Heeled Sandal,A050,2
Skechers Men's Energy-Afterburn,A050,3
Lightweight Casual Fashion Sneakers,A050,2
Lace Up Duck Boot,A050,2
Winter Snow Boot,A050,3
Cowboy Distressed Boot,A051,3
Pink Heels,A051,2
Heel Glitter Booties Closed Toe Block Heel Dress Winter ShoesHeel Glitter Booties Closed Toe Block Heel Dress Winter Shoes,A051,1
Calvin Klein Kerie,A051,4
Fashion Box Women's Fashion Platform Heel Wedge Sandals,A051,2
Chunky High Heel Elastic Ankle Boots,A051,5
Girl's Embellished Platforms Heels,A051,4
Girls boot355,A051,2
TAYDOL women fancy block heel sandal (33),A051,3
Shuz Touch Women Solid Glossy Ankle Length Heels Boots,A051,1
KIRAVI Rainbow Transparent Strap High Pencil Heel Sandals For Women,A052,4
BUCIK Men's Synthetic Leather Lace-Up Casual Shoe's,A052,3
Ankle Length Casual Boots,A052,1
Leather Comfortable Block Heel Sandals,A052,2
Block Heeled Western Boots,A052,3
ZAIF Women Stylish Trendy Pencil Heel Sandal (ZC059),A052,4
Surexo Women's Boots Chukka Boots,A052,2
Shoetopia Women & Girls Fashionable Solid Platform Heels,A053,3
KIRAVI Rainbow Transparent Strap High Pencil Heel Sandals For Women,A053,5
Canvas Casual Comfortable Sneakers,A053,2
Liberty Gliders Casual Shoes,A053,3
Women's ST-1177 White PU Boots,A053,2
Kraasa Slip On Sneakers for Women,A053,3
Puma Unisex-Baby Rebound Joy Softfoam+ Kid's Shoes Basketball Shoe,A053,2
TAYDOL women fancy block heel sandal (33),A054,4
Girls boot355,A054,2
urexo Women Sneaker's Maroon,A054,4
Ankle Length Casual Boots,A054,4
Block Heeled Western Boots,A054,2
OZJI Men Casual X CONVER HIGH TOP Sneaker for Men,A054,3
Toe Chunky Heel Ankle Strap Shoes,A055,2
KIRAVI Rainbow Transparent Strap High Pencil Heel Sandals For Women,A055,4
JM LOOKS Strappy Heels,A055,2
Kraasa Slip On Sneakers for Women,A055,3
Girls boot355,A055,4
Women Formal Shoes,A055,2
Shoetopia Women & Girls Fashionable Solid Platform Heels,A055,3
Leather Comfortable Block Heel Sandals,A055,5
Surexo Women's Boots Chukka Boots,A055,2
Puma Unisex-Baby Rebound Joy Softfoam+ Kid's Shoes Basketball Shoe,A055,3
TAYDOL women fancy block heel sandal (33),A055,4
KIRAVI Rainbow Transparent Strap High Pencil Heel Sandals For Women,A056,2
Canvas Casual Comfortable Sneakers,A056,1
Ankle Length Casual Boots,A056,3
Puma Unisex-Baby Rebound Joy Softfoam+ Kid's Shoes Basketball Shoe,A056,2
Surexo Women's Boots Chukka Boots,A056,5
ZAIF Women Stylish Trendy Pencil Heel Sandal (ZC059),A056,2
"HG SQUARE Mens Canvas High Top Sneaker Lace-up Classic Casual Shoes (Grey, Numeric_9)",A056,3
Block Heeled Western Boots,A056,5
Skechers Womens Flex Appeal 3.0-go Forward Sneaker,A056,3
BUCIK Men's White Synthetic Lether Lace-Up Casual Shoes,A056,5
Women and Girls Heels Sandal,A056,2
Canvas Casual Comfortable Sneakers,A056,5
OZJI Men Casual X CONVER HIGH TOP Sneaker for Men,A056,2
JM LOOKS Strappy Heels,A057,1
KIRAVI Rainbow Transparent Strap High Pencil Heel Sandals For Women,A057,2
BUCIK Men's Synthetic Leather Lace-Up Casual Shoe's,A057,3
Surexo Women's Boots Chukka Boots,A057,2
BUCIK Men's White Synthetic Lether Lace-Up Casual Shoes,A057,4
Shoetopia Women & Girls Fashionable Solid Platform Heels,A057,2
TAYDOL women fancy block heel sandal (33),A057,3
Girls boot355,A057,4
Block Heeled Western Boots,A057,2
Ankle Length Casual Boots,A057,5
ZAIF Women Stylish Trendy Pencil Heel Sandal (ZC059),A057,4
Women's ST-1177 White PU Boots,A057,2
"HG SQUARE Mens Canvas High Top Sneaker Lace-up Classic Casual Shoes (Grey, Numeric_9)",A058,3
OZJI Men Casual X CONVER HIGH TOP Sneaker for Men,A058,5
BUCIK Men's White Synthetic Lether Lace-Up Casual Shoes,A058,2
Skechers Womens Flex Appeal 3.0-go Forward Sneaker,A058,4
urexo Women Sneaker's Maroon,A058,2
Canvas Casual Comfortable Sneakers,A058,2
Canvas Casual Comfortable Sneakers,A058,3
JM LOOKS Strappy Heels,A058,5
Leather Comfortable Block Heel Sandals,A058,2
Women Formal Shoes,A058,3
Strappy Open Toe Block Heel Sandal,A058,4
Block Heel Fashion Sandal,A058,3
Cape Robbin Women's Strappy Pointy Open Toe Ankle Strap Stiletto Sandal-Ada,A058,5
ZOVIM Women's Classic Boot,A058,2
Heel Ankle Boots Buckle Strap Ankle,A058,3
white Ankle Boots,A058,4
Cape Robbin Women's Strappy Pointy Open Toe Ankle Strap Stiletto Sandal-Ada,A059,2
Ankle Boots Closed Toe Stacked Heel Booties Shoes,A059,3
white Ankle Boots,A059,5
ZOVIM Women's Classic Boot,A059,3
Women's Boots 530-G1,A059,2
Heel Ankle Boots Buckle Strap Ankle,A059,3
winter long boot,A059,4
leo Khadim's Women Tan Lifestyle Dress Boots,A059,2
winter long boot,A060,2
leo Khadim's Women Tan Lifestyle Dress Boots,A060,4
white Ankle Boots,A060,5
Women's Boots 530-G1,A060,2
Ankle Boots Closed Toe Stacked Heel Booties Shoes,A060,3
Heel Ankle Boots Buckle Strap Ankle,A060,1
leo Khadim's Women Tan Lifestyle Dress Boots,A060,2
